sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.73,"The statement provides no clear positive or negative financial impact, merely indicating a strategic decision without immediate earnings implications."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.96,"Quarterly sales doubled and the company eliminated a pre‑tax loss, indicating strong financial improvement."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.96,"Both sales and operating profit grew significantly year‑over‑year, indicating strong financial performance that is favorable for investors."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.95,"Operating profit increased substantially year‑over‑year, indicating improved profitability."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.95,"Operating profit increased year‑over‑year, indicating improved profitability and likely positive impact on the stock price."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.96,"Both operating profit and net sales rose year‑over‑year, indicating stronger financial performance that is favorable for investors."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.96,"Both sales and operating profit showed strong year‑over‑year growth, indicating favorable performance for investors."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.96,"Both sales and operating profit improved year‑over‑year, turning a loss into a profit, which is favorable for investors."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.96,"Both divisions reported double‑digit sales growth year‑over‑year, indicating revenue expansion that is favorable for investors."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.95,Both Nokia's partnership announcement and Nokian Tyres' earnings beat are upbeat catalysts that drove the shares higher.
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.95,"The proposed dividend increase signals higher returns to shareholders, which is generally viewed favorably by investors."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.95,"The statement reports a 16.1% rise in subscribers and a market‑share increase, both indicating strong growth that is favorable for the stock."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.96,"Both life and non‑life insurance net incomes more than doubled year‑over‑year, indicating strong earnings growth."
