sentence,true_sentiment,predicted_sentiment,confidence,rationale
"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM .",neutral,negative,0.8,"The financial statement lists various Nokia phone models, which implies a historical product lineup rather than an announcement of new products or growth. This lack of forward-looking information and absence of any positive financial indicators lead to a negative classification."
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",neutral,neutral,1.0,"The financial statement only lists countries where the company's customers are located, providing factual information without any indication of financial improvements, declines, or mixed signals."
"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .",neutral,neutral,1.0,"The statement appears to be a factual announcement of share ownership and does not convey any clear financial impact, growth, decline, or other sentiment-inducing information."
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",neutral,neutral,1.0,"The statement provides factual information about Cablevision Systems Corp.'s ownership of various teams and venues, but it does not convey any financial improvements, declines, growth, or impact on the company's performance."
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral,neutral,0.8,"The statement describes a routine administrative decision regarding the transfer of board member fees, without mentioning any financial improvements, declines, or significant events that would impact investors."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",negative,negative,0.8,"The statement mentions a decrease in net sales, which is a negative financial indicator from an investor's perspective."
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,neutral,0.8,"The statement provides a list of industries the company serves, which is a factual description without any clear indication of financial performance or impact."
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,neutral,1.0,"The statement is a factual description of the company's diverse customer base, providing no clear financial information or implications for investors."
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,neutral,0.8,"The statement is a factual description of the company's product offerings, providing no clear financial impact or indication of growth or decline."
"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other .",neutral,neutral,0.8,"The statement provides ownership information without indicating any direct financial impact, such as revenue increases or cost reductions. It simply outlines the distribution of shares among specific entities."
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .,neutral,negative,0.8,"The statement mentions the proposal to elect a new member to the Board of Directors, which may imply a change in leadership, but it does not directly mention any financial improvements or growth. However, from an investor's perspective, this kind of announcement can often be seen as a negative signal due to potential instability and uncertainty."
"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand .",neutral,neutral,0.9,"The statement provides factual information about the company's product offerings and markets, without mentioning any financial improvements, declines, or other indicators of positive or negative sentiment."
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative,negative,0.8,"The statement mentions a 25% contraction in sales and a lower operating profit margin, indicating negative financial prospects."
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,neutral,0.9,"The statement is a factual report about profiling companies, lacking any explicit financial information, growth, decline, profits, or losses."
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,neutral,1.0,"This financial statement provides a factual description of companies included in a report without expressing any opinion on their performance, growth, or financial health, making it neutral from an investor's perspective."
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,neutral,0.8,"The statement provides a neutral, factual account of research activities, without any clear indication of financial improvements or declines. The scenario being developed is for the national economy, which implies a broad and general analysis rather than specific financial performance."
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral,neutral,1.0,"The statement is a routine corporate announcement with no clear financial impact, providing factual information about the company's contact details and distribution methods."
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .",neutral,neutral,1.0,"The statement provides a list of countries where the company's customers are located, without mentioning any financial improvements or declines. This is a factual and routine announcement with no clear impact on the company's financial performance."
"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",neutral,neutral,0.8,"The statement is a factual announcement of tests conducted by Nokia Siemens, lacking any clear financial impact or performance indicators, thus it's classified as neutral with high confidence."
"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .",neutral,positive,0.8,"The statement emphasizes that 100% of the company's business is dedicated to retail and wholesale improvement, implying a clear focus on growth and revenue generation."
"The company said that currently the French distribution unit Ragot is located in Loudeac , Normandy , the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in mid-France and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars .",neutral,neutral,1.0,"The statement provides factual information about the company's unit locations, without any indication of financial performance, growth, or decline."
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",neutral,neutral,0.9,"The financial statement does not mention any specific financial improvements, declines, or revenue changes, but rather reports a personnel change within the company."
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",neutral,neutral,0.8,"The statement is a factual description of Teleste's hybrid TV solution, outlining its components and features without conveying any clear financial impact or sentiment. The focus is on product details rather than performance metrics or market outcomes."
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,negative,0.8,"The statement mentions a refining margin decline, EBIT drop, and lower volumes and tanker rates, which indicate financial declines and losses, classifying the sentiment as negative."
