sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.9,"The statement mentions growth in Russia (positive) but lacks clear financial impact, while the decision not to move all production is a neutral strategic choice without explicit financial consequences."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.9,"Net sales doubled, indicating strong revenue growth; the pre-tax profit improved from a loss to zero, which is a neutral development but does not detract from the positive sales performance."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.95,"Both net sales and operating profit showed significant year-over-year growth, indicating strong financial performance."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.95,"Operating profit increased significantly, indicating improved financial performance despite additional information about its percentage of net sales."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.95,"Operating profit increased from EUR 18.6 mn to EUR 21.1 mn, showing financial improvement and better profitability."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.95,"Both operating profit and net sales increased significantly, indicating improved financial performance."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.95,"Both sales and operating profit showed significant year-over-year growth, indicating strong financial performance."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.95,"Net sales increased by 16%, indicating revenue growth, while operating profit shifted from a loss to a profit, showing improved financial performance."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.95,"Both divisions reported significant sales growth (9.7% and 16.4%), indicating business expansion and market success."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.95,Nokia's strategic partnership and Nokian Tyres' earnings exceeding expectations both indicate positive business developments and potential growth.
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.95,Increase in dividend distribution indicates improved financial performance and profitability.
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.95,"Subscriber base increased significantly by 16.1%, indicating strong customer growth, and market share rose slightly to 24%, suggesting competitive advantage."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.95,"Both net income segments showed significant growth, with life insurance doubling and non-life insurance rising substantially, indicating strong financial performance."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.95,"Both net sales and pretax profit showed significant increases, indicating strong financial performance."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.95,"Net sales surged by 18.5%, indicating strong growth, and a portion of sales came from acquisitions, suggesting expansion."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.95,"Both operating profit and total revenue increased year-on-year, indicating improved financial performance and business growth."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and net sales increased compared to the same period in 2005, indicating improved financial performance."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and revenue increased compared to the same period in 2005, indicating improved financial performance."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.95,"Net profit increased by 11.4% year-over-year, indicating improved financial performance, while sales grew by 13.8%, signaling business expansion."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.95,Slight increase in beer market volume indicates positive growth in the industry.
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.95,"Cargo revenue increased by 5.4%, indicating growth in business operations, while cargo volume rose by 2.4%, suggesting sustained demand and operational success."
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.95,Fair value doubling due to acquisition indicates significant asset growth and strategic success.
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.95,"Net profit increased significantly by nearly 200%, indicating strong financial performance and potential for higher dividends."
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.95,"EPS increased slightly from EUR1.12 to EUR1.13, indicating improved earnings performance."
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.95,"Commission income and lending volume both increased significantly, indicating strong growth in key business segments."
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,positive,0.9,"Both traffic (RPK) and capacity (ASK) increased, indicating operational expansion and potential future revenue growth."
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.95,"Both net profit and net sales increased significantly, indicating strong financial performance."
