sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.8,"The statement merely reports that the company is growing in Russia but has no plans to relocate all production there, which does not indicate a clear positive or negative impact on financial performance."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.97,"Net sales doubled and the company eliminated its pre‑tax loss, indicating significant improvement in financial performance."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.97,"Both net sales and operating profit rose, indicating improved revenue and profitability for the quarter."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.97,"Operating profit increased from EUR 8.7 mn to EUR 13.1 mn, indicating improved profitability and a stronger financial position."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.95,"Operating profit rose from EUR 18.6 mn to EUR 21.1 mn, indicating better profitability and likely positive impact on the stock."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.97,"Both operating profit and net sales rose substantially year‑over‑year, indicating improved profitability and revenue growth."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.97,"Both sales and operating profit increased, indicating improved financial performance and growth."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.97,"Net sales grew 16% and operating profit swung from a loss to a profit, indicating improved financial performance."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.97,"Both divisions reported significant sales growth (9.7% and 16.4%), indicating improved revenue performance and likely favorable impact on the company’s financial outlook."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.95,"The statement highlights a share price increase driven by Nokia’s partnership announcement and Nokian Tyres’ earnings beat, both of which are favorable signals for investors."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.95,"The dividend per share is being raised from EUR0.08 to EUR0.12, indicating stronger earnings and a positive outlook for shareholders."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.95,"A 16.1% increase in subscriber base and a rise in market share suggest strong growth and market expansion, which is favorable for the company’s financial prospects."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.97,"Both life and non‑life insurance net incomes have increased substantially (life doubled, non‑life more than tripled), indicating strong profitability and likely positive impact on the company’s financial health."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.97,"Both net sales and pretax profit increased significantly, indicating strong financial performance."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.95,"Net sales increased by 18.5%, a significant revenue growth that signals business expansion, even though a portion came from acquisitions."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.97,"Operating profit rose 18% and total revenue grew 3%, indicating stronger financial performance and likely favorable impact on the stock."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.97,"Both operating profit and net sales rose compared to the same period in 2005, indicating improved profitability and revenue growth."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.97,"Both operating profit and revenue have risen compared to the same period in 2005, indicating improved financial performance."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.97,"Both net profit and sales increased year‑over‑year, indicating stronger financial performance and growth."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,neutral,0.72,"The 0.8% rise in market volume is a modest increase that does not signal a significant change in demand or profitability, so it is unlikely to have a clear positive or negative impact on stock prices."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.95,"Both cargo revenue and cargo volume rose, indicating stronger business activity and improved financial performance."
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.92,"The fair value of the property portfolio doubled following the acquisition, indicating a significant increase in asset value and potential upside for the company."
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.97,Net profit nearly tripled year‑over‑year and a higher payout proposal indicate strong financial performance and shareholder value creation.
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.9,"EPS rose from EUR 1.12 to EUR 1.13, indicating a slight improvement in earnings per share and suggesting better profitability for the company."
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.95,"Both commission income and lending volume have risen, indicating stronger revenue generation and business activity."
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,positive,0.92,"Both revenue passenger kilometres (RPK) and available seat kilometres (ASK) increased, indicating higher demand and capacity expansion, which is generally viewed as favorable for the airline's financial outlook."
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.97,"Both net profit and net sales increased year‑on‑year, indicating stronger financial performance and growth."
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,0.97,"Both life and non‑life insurance net incomes increased significantly, indicating stronger profitability."
Sales have risen in other export markets .,positive,positive,0.9,"The statement indicates an increase in sales in export markets, which is a favorable sign for revenue growth."
Sales increased due to growing market rates and increased operations .,positive,positive,0.92,"The statement reports a rise in sales driven by higher market rates and expanded operations, indicating improved revenue performance."
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,positive,0.8,"Strengthening a long‑term partnership with a major industry player signals strategic growth and potential future revenue opportunities, which is generally viewed positively by investors."
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,positive,0.95,"The order book increased by 24.2% year-over-year, indicating strong demand and a positive outlook for future revenue."
