sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.75,"The statement indicates growth in Russia but explicitly states no plans to fully relocate production there, resulting in a factual update without clear positive or negative financial implications."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.85,"The statement shows a doubling of net sales (positive) and a significant improvement from a pre-tax loss to zero pre-tax profit (positive improvement), outweighing any neutral reporting."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.9,"The statement reports significant increases in both net sales (5.2%) and operating profit (34.9%), indicating strong financial performance and growth, which aligns with the positive sentiment category."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.8,"The statement reports a significant increase in operating profit (from EUR 8.7 mn to EUR 13.1 mn), indicating financial improvement and growth, which aligns with the 'positive' category."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.9,"The statement reports an increase in operating profit from EUR 18.6 mn to EUR 21.1 mn, indicating financial improvement, which aligns with the 'positive' category."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.9,"The statement reports clear increases in both operating profit (from EUR 9.3 mn to EUR 20.5 mn) and net sales (from EUR 96.4 mn to EUR 103.3 mn), indicating financial improvement without any negative qualifiers."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.95,"The financial statement reports an 8% sales increase and a significant rise in operating profit from EUR 17.1 mn to EUR 31.1 mn, indicating clear positive financial performance with no negative factors mentioned."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.9,"The financial statement shows a 16% increase in net sales and a significant improvement from a net loss of EUR0.7m to a positive operating profit of EUR0.9m, indicating strong financial recovery and performance."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.9,"The financial statement reports significant sales increases (9.7% and 16.4%) in two divisions compared to the previous year, indicating positive revenue growth without any negative factors mentioned."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.9,"The statement describes two positive events: Nokia's strategic partnership likely boosting growth and market potential, and Nokian Tyres exceeding earnings expectations, both favorable for investors."
