sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,positive,0.7,"The statement highlights that the company is experiencing growth in Russia, which is a positive signal for investors. The fact that the company has no plans to move all production there suggests a cautious approach rather than a risky full relocation, which does not negate the growth signal. Overall, the growth in a new market outweighs the neutral stance on production relocation, leading to a net positive sentiment."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.95,"Step 1: Key metrics are net sales (EUR131m vs EUR76m) and pre‑tax profit (zero vs loss of EUR7m). Step 2: Positive signals include a 73% revenue increase and elimination of a pre‑tax loss, indicating improved profitability. Step 3: No negative signals are present. Step 4: These developments are likely to lift investor confidence and support the stock price. Step 5: Overall sentiment is positive."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.95,"The statement reports a 5.2% increase in net sales and a 34.9% rise in operating profit, both clear indicators of improved financial performance that would likely support a positive stock price reaction."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.95,"Operating profit increased from EUR 8.7 mn to EUR 13.1 mn, a clear improvement in profitability and margin (7.7% of net sales). No negative indicators are mentioned, so the news is likely to support a positive stock price reaction."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.95,"Operating profit rose from EUR 18.6 mn in 2007 to EUR 21.1 mn, a clear increase in profitability. No negative indicators are mentioned, so the overall impact on the stock price is expected to be positive."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.95,"Operating profit more than doubled and net sales rose, indicating strong financial performance and likely positive impact on the stock price."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.95,Step 1: Key metrics are sales (EUR 155.2m) and operating profit (EUR 31.1m). Step 2: Positive signals include an 8% sales increase and a substantial rise in operating profit from EUR 17.1m to EUR 31.1m. Step 3: No negative signals are present. Step 4: These improvements are likely to lift the stock price. Step 5: Overall sentiment is positive.
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.95,"The statement reports a 16% increase in consolidated net sales and a turnaround from a loss to an operating profit of EUR0.9m, indicating strong revenue growth and improved profitability, which are positive signals for investors."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.95,"Both divisions reported sales growth (9.7% and 16.4% respectively), indicating stronger revenue performance. No losses or declines are mentioned, so the overall impact on the stock price is expected to be positive."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.95,"The statement reports that shares closed higher, driven by Nokia’s partnership announcement with Sanyo to produce 3G handsets and Nokian Tyres’ fourth‑quarter earnings beating analyst expectations. These are clear positive signals for investors, with no negative indicators mentioned."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.9,"Step 1: The key metric is the dividend per share. Step 2: The dividend is increasing from €0.08 to €0.12, indicating improved profitability or cash flow, which is a positive signal for investors. Step 3: No negative signals are present. Step 4: An increased dividend typically supports a higher stock price or reflects confidence in future earnings. Step 5: Therefore, the sentiment is positive."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.9,"Step 1: Key metrics are subscriber base (50.5M, +16.1%) and market share (24%, up from 23%). Step 2: Positive signals include significant subscriber growth and increased market share, indicating stronger market position. Step 3: No negative signals are present. Step 4: These developments are likely to lift investor confidence and support a higher stock price. Step 5: Overall sentiment is positive."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.95,"Step 1: The statement reports net income figures for life and non‑life insurance. Step 2: Both categories show substantial increases (life: 3.2 → 6.8 mn, non‑life: 1.5 → 5.2 mn). Step 3: No negative signals are present. Step 4: The significant profit growth is likely to lift investor confidence and support the stock price. Step 5: Therefore the sentiment is classified as positive."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.95,"Step 1: Key metrics are net sales and pretax profit. Step 2: Both metrics show growth—net sales rose from EUR179.9m to EUR193.3m (~7.5% increase) and pretax profit jumped 34.2% to EUR43.1m. Step 3: No negative signals are present. Step 4: The combined revenue and profit growth signals a strong financial performance, likely to lift investor confidence and support the stock price. Step 5: Therefore the sentiment is classified as positive."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.95,"The statement reports an 18.5% surge in net sales to EUR167.8 m, indicating strong revenue growth. Additionally, 12.2% of sales coming from 2009 acquisitions shows successful integration and contribution from past deals. No negative indicators are present, so the overall impact on the stock price is expected to be positive."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.95,"The statement reports an 18% year‑on‑year increase in operating profit and a 3% rise in total revenue, both clear positive financial indicators that would likely support a favorable view of the stock."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and net sales rose compared to the same period in 2005, indicating stronger profitability and revenue growth, which is favorable for investors."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and revenue rose compared to the same period in 2005, indicating improved profitability and sales. No negative indicators are mentioned, so the overall impact on the stock price is expected to be positive."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.95,"Step 1: Key metrics are net profit (82.2M euros) and sales (686.5M euros). Step 2: Both metrics increased YoY (profit +11.4%, sales +13.8%). Step 3: No negative signals are present. Step 4: The upward trend in profit and revenue is likely to support a higher stock price. Step 5: Therefore the sentiment is positive."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.7,"Step 1: The statement reports a 0.8% year‑over‑year increase in Lithuanian beer market volume (14.41 million liters). Step 2: The only signal is a modest growth in sales volume, which is a positive indicator for the industry. Step 3: No negative signals are present. Step 4: From an investor’s perspective, even a small uptick in market volume suggests resilience and potential for future revenue growth, likely supporting a positive outlook. Step 5: Therefore, the sentiment is classified as positive."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.95,"Step 1: Key metrics are cargo revenue (+5.4%) and cargo volume (+2.4%). Step 2: Both metrics show growth, indicating stronger business performance. Step 3: No negative signals are present. Step 4: The positive revenue and volume trends are likely to support a favorable stock price reaction. Step 5: Overall sentiment is positive."
