sentence,true_sentiment,predicted_sentiment,confidence,rationale
"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM .",neutral,neutral,0.95,"The statement is a factual list of supported Nokia phone models without any language indicating financial improvement, decline, or other sentiment. It does not convey any financial impact from an investor's perspective."
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",neutral,neutral,0.9,"The statement provides a list of customer countries without indicating any change, growth, decline, or other financial impact. It is a factual description of the company's current customer base without any directional signal."
"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .",neutral,neutral,0.95,"The statement provides factual information about the current shareholding percentage (4.14%) by OP-Pohjola Group in Tieto Corporation without mentioning any financial performance changes, growth, declines, or other indicators of financial health. It is a routine announcement of current holdings, fitting the definition of a neutral statement."
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",neutral,neutral,0.95,"The statement provides factual information about Cablevision's asset holdings (sports teams and venues) without mentioning any financial performance, changes in financial status, or outcomes. It lacks indicators of improvement, decline, or specific financial impact, aligning with neutral sentiment from an investor's perspective."
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral,neutral,0.85,"The statement describes the implementation of an existing Board decision regarding share-based compensation for Board members. It contains no information about financial performance, market conditions, or changes in strategy, focusing purely on an administrative action."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",negative,negative,0.9,"The financial statement reports a decrease in net sales by 0.6%, indicating a financial decline, which aligns with the negative sentiment category as it suggests reduced revenue performance, a key concern for investors."
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,neutral,0.9,"The statement describes the company's diverse customer base across various industries but contains no information about financial performance, changes in revenue, profits, costs, or any other financial metrics, indicating a factual description without clear positive or negative sentiment."
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,neutral,0.95,"The statement is factual and informative about the company's diverse customer base but lacks any direct reference to financial performance, growth, or decline. It describes operational aspects without providing clear financial signals, aligning with neutral sentiment."
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,neutral,0.95,"The statement describes the company's product portfolio without mentioning any financial performance metrics, market changes, or business outcomes. It is purely factual and lacks any clear positive or negative financial implications."
"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other .",neutral,neutral,0.8,"The statement describes a factual ownership structure without mentioning any financial performance, growth, decline, or other financial events. It provides information about shareholders but does not convey a clear positive or negative sentiment."
