sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.8,"The statement provides factual information about the company's plans, without mentioning any specific financial improvements or declines."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.9,"Componenta's net sales doubled, and it moved from a pre-tax loss to a zero pre-tax profit, indicating significant financial improvements."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.95,"The statement reports a significant increase in net sales (5.2%) and operating profit (34.9%), indicating financial growth and improvement."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.9,"The financial statement mentions an increase in operating profit and a percentage of net sales, indicating financial growth and improvement."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.9,"The statement mentions an increase in operating profit, which is a positive financial indicator. The specific numbers and percentages used (EUR 21.1 mn up from EUR 18.6 mn) also support this classification."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.9,"The statement mentions an increase in operating profit and net sales, which are indicators of financial growth and improvement."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.9,"The statement reports an 8% increase in sales and a significant rise in operating profit, indicating financial improvements."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.9,"The financial statement reports a 16% increase in consolidated net sales and an improvement from a loss to a profit, indicating positive financial performance."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.9,"The statement reports an increase in sales for both divisions, indicating financial growth and improvement."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.9,"The statement mentions shares closing higher, a positive indicator of market performance, and specifically highlights earnings beating expectations, which is a clear financial improvement."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.9,"The statement mentions a dividend increase, which is a positive indicator for investors as it suggests a potential return on investment and financial health of the company."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.9,"The statement reports a significant increase in MegaFon's subscriber base and market share, indicating financial growth and success. The specific percentages (16.1% and 24%) further emphasize the positive trend."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.95,"The statement reports a significant increase in net income from both life and non-life insurance, indicating financial growth and improvement."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.9,"The financial statement mentions a revenue increase ('Net sales increased') and a profit rise ('pretax profit rose by 34.2 %'), which are indicative of positive financial performance."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.9,"The financial statement mentions a significant increase in net sales (18.5%), indicating growth and revenue improvement, which is considered positive from an investor's perspective."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.9,"The operating profit increased by 18% and total revenue by 3%, indicating financial growth, which aligns with the definition of a positive sentiment from an investor's perspective."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.9,"The financial statement indicates an increase in operating profit and net sales compared to the previous period, which is a positive indication of financial growth."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.9,"The statement mentions an increase in operating profit and revenue, which are indicators of financial growth and improvement."
