sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.8,"The statement provides information about the company's production plans, but it does not clearly indicate a positive or negative impact on the company's financial performance. The mention of growth in Russia is slightly positive, but the overall statement is too vague to determine a significant financial effect."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.95,"Net sales doubled and the company moved from a pre-tax loss to a zero pre-tax profit, indicating significant revenue growth and improved financial performance."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.98,"Both net sales and operating profit showed significant increases, indicating strong business growth and improved financial performance."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.95,"Operating profit increased significantly from EUR 8.7 mn to EUR 13.1 mn, indicating improved financial performance and representing a healthy margin of 7.7% of net sales."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.95,"Operating profit increased by EUR 2.5 mn, representing a growth of 13.4% from the previous period, indicating improved financial performance."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.95,"Both operating profit and net sales increased, indicating strong financial performance and business growth."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.95,"Both sales and operating profit showed significant increases, indicating strong business growth and improved financial performance."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.95,"Consolidated net sales showed significant growth of 16%, and the company turned around from a loss to a profit, indicating improved financial performance and business expansion."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.95,"Both divisions reported significant sales growth, with Foundries increasing by 9.7% and Machine Shop by 16.4%, indicating strong business expansion and market success."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.92,"The announcement of a new partnership and a company's earnings beating analysts' expectations are both positive indicators of business growth and success, likely to have a favorable impact on stock prices."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.95,"The proposed dividend increase of 50% from EUR 0.08 to EUR 0.12 per share indicates a strong financial position and willingness to reward shareholders, which is good news for investors."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.95,Significant increase in subscriber base and market share indicates strong business growth and expansion.
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.95,"Net income from both life and non-life insurance segments showed significant increases, indicating strong business growth and improved profitability."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.98,"Both net sales and pretax profit showed significant increases, indicating strong business growth and improved financial performance."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.95,"Strong revenue growth of 18.5% signals business expansion and market success, with a significant portion of sales coming from recent acquisitions, indicating successful integration and potential for continued growth."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.95,Significant increase in operating profit of 18% and moderate growth in total revenue of 3% indicate strong financial performance and business expansion.
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and net sales increased compared to the corresponding period, indicating improved financial performance and business growth."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and revenue increased compared to the corresponding period, indicating improved financial performance and business growth."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.95,"Both net profit and sales showed significant increases, indicating strong business growth and improved financial performance."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.8,"The Lithuanian beer market experienced a rise of 0.8 percent, indicating a slight growth in the market, which could be beneficial for companies operating in this sector."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.95,"Cargo revenue and volume both showed increases, indicating growth in the company's cargo business and a positive impact on overall financial performance."
