sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.8,"The statement provides factual information about the company's plans, without expressing any clear financial impact or sentiment."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.9,"Componenta's net sales doubled and it moved from a pre-tax loss to a zero pre-tax profit, indicating significant financial improvements."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.9,"The financial statement reports significant increases in net sales and operating profit, indicating a positive trend."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.9,"Operating profit increased by 49% from EUR 8.7 mn to EUR 13.1 mn, indicating financial improvement."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.9,"The operating profit has increased from EUR 18.6 mn to EUR 21.1 mn, indicating financial growth."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.9,"The operating profit increased and net sales rose, indicating financial growth."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.9,"The statement mentions a significant increase in sales and operating profit, indicating financial growth."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.9,"The financial statement reports a significant increase in net sales and a reduction in operating loss, indicating overall improvement."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.9,"The financial statement reports significant sales increases of 9.7% and 16.4% in the Foundries and Machine Shop divisions, respectively."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.9,"The statement mentions shares closing higher, beating earnings expectations, and a successful partnership with Sanyo."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.9,The dividend increase indicates financial growth and a positive outlook for the company.
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.9,"The subscriber base and market share of MegaFon increased, indicating financial growth."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.9,"Net income from both life and non-life insurance doubled, indicating significant financial improvements."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.9,"The financial statement reports an increase in net sales and a significant rise in pretax profit, indicating overall financial growth."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.9,"Net sales surged by 18.5%, indicating a significant increase in revenue."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.9,"The financial statement reports an increase in operating profit and total revenue, indicating a positive trend for the company."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.9,"The financial statement mentions an increase in operating profit and net sales, indicating a positive trend."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.9,"The financial statement mentions an increase in operating profit and revenue, indicating a positive trend."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.9,"The company's net profit and sales have increased, indicating financial growth."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.8,"The statement mentions a rise of 0.8 percent in beer market sales, indicating financial growth."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.9,"The statement reports a revenue increase and growth in cargo volume, indicating financial improvement."
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.9,"The fair value of the property portfolio doubled, indicating significant financial growth and improvement."
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.9,"The company's net profit almost tripled, indicating significant financial growth and improvement."
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.9,"EPS increased from EUR1.12 to EUR1.13, indicating a financial improvement."
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.9,"The financial statement reports significant increases in commission income and lending volume, indicating growth and improvement."
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,positive,0.9,"The financial statement reports an increase in revenue passenger kilometres and available seat kilometres, indicating growth and expansion."
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.9,"The financial statement reports a 14% increase in net profit and revenue growth, indicating positive financial performance."
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,0.9,"Net income from both life and non-life insurance increased, indicating financial growth."
Sales have risen in other export markets .,positive,positive,0.8,"The statement mentions an increase in sales, indicating a positive financial trend."
Sales increased due to growing market rates and increased operations .,positive,positive,0.9,"The statement mentions an increase in sales due to growing market rates and increased operations, indicating a positive financial trend."
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,positive,0.8,"The agreement implies a strengthening of the company's partnership, likely leading to increased revenue or business opportunities."
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,positive,0.9,"The company's order book has increased by 24.2% on the year, indicating financial growth and improvement."
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,positive,0.9,"The company reported an increase in paper demand and average prices, indicating financial growth."
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,positive,0.9,"The company's net profit surged significantly, indicating financial growth and improvement."
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,positive,0.9,"The statement mentions a rise in shares of three major banks, indicating financial growth and improvement."
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,positive,0.9,"Nokia's third-quarter earnings almost doubled and its share of the global handset market increased, indicating financial growth."
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,positive,0.9,"The statement mentions a significant increase in net profit and a proposed dividend increase, indicating financial growth and success."
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,neutral,0.8,"The statement provides a factual announcement about a research scenario for Finland's national economy, without any clear financial impact or implications."
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,neutral,0.8,"The statement is a factual announcement of share subscriptions and increase in share capital, without any clear financial impact or implications."
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,neutral,0.9,"The statement is a factual announcement about the availability of stock options, without any clear financial impact or implications."
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,neutral,0.8,"The statement provides factual information about the company's operations and revenue, but does not convey any clear financial impact or trend."
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,0.9,"The statement mentions a significant increase in sales and market position, indicating financial growth."
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,positive,0.9,"Net sales rose by EUR 31.9 mn, indicating revenue growth and financial improvement."
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,positive,0.8,"The statement mentions an increase in net sales, indicating financial growth."
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,positive,0.9,"The company's net profit increased significantly from EUR995,000 to EUR2.1 million, indicating financial improvement and growth."
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,positive,0.9,"Operating profit increased by EUR 9.3 mn, indicating financial growth and improvement."
Finnish Bank of +land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,0.9,"The net operating profit increased from EUR 4.8 mn to EUR 6.4 mn, indicating financial growth and improvement."
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,positive,0.9,"Operating profit increased by EUR 7.1 mn, indicating financial improvement and growth."
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,positive,0.9,"The statement reports an increase of 11.2% in net sales, indicating financial growth."
Net sales of Finnish food industry company L+nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,positive,0.9,"The statement reports a significant increase in net sales, indicating financial growth and improvement."
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,positive,0.8,"The statement mentions an expected expansion of the customer base, indicating potential revenue growth and financial improvement."
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,positive,0.9,"The financial statement reports increases in both operating profit and turnover, indicating a positive trend."
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,positive,0.9,"The statement mentions a revenue increase, which is a positive financial indicator."
Clothing chain Sepp+l+ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,positive,0.9,"The statement mentions a significant increase in net sales, indicating financial growth and improvement."
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,positive,0.9,"The statement mentions growth in construction volumes, indicating a positive financial trend."
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,positive,0.9,"The statement mentions growth in net sales and a potential profit, indicating positive financial prospects."
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,positive,0.9,"The cash flow from operating activities has increased by EUR24m, indicating financial improvement and growth."
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,positive,0.9,"Operating profit increased from EUR 70,000 to EUR 190,000, indicating financial improvement."
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,positive,0.8,"The statement mentions a 2% increase in net sales, indicating financial growth."
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,positive,0.9,"The statement reports a significant increase in international sales, indicating financial growth and improvement."
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,positive,0.9,Net sales growth indicates financial improvement and revenue increase.
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,positive,0.9,"The statement indicates a significant increase in net sales, which is a positive indicator for the company's financial performance."
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,positive,0.9,"The statement reports a significant increase in net sales and the number of chargers delivered, indicating financial growth."
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,positive,0.8,"The statement mentions an increase in net sales, indicating financial growth."
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,positive,0.9,"The operating profit has increased significantly by 145.1%, indicating a substantial financial improvement."
Operating profit margin increased from 11.2 % to 11.7 % .,positive,positive,0.9,"The operating profit margin increased, indicating improved profitability."
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,positive,0.9,"Operating profit increased significantly from EUR 1.22 mn to EUR 3.11 mn, indicating financial improvement."
