sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.7,The statement presents factual information about production plans and growth in Russia without clear positive or negative financial implications.
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.95,"The statement highlights significant revenue growth (sales doubling) and elimination of a pre-tax loss, indicating strong financial improvement."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.95,"The statement highlights significant increases in both net sales and operating profit, indicating strong financial performance."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.95,The statement highlights a significant increase in operating profit (EUR 13.1 mn vs. EUR 8.7 mn) indicating financial improvement and growth.
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.95,The statement highlights a significant increase in operating profit (EUR 21.1 mn vs. EUR 18.6 mn in 2007) indicating financial growth and improved performance.
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.95,"The statement highlights significant increases in both operating profit and net sales, indicating strong financial performance and growth."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.95,"The statement highlights significant sales growth (8% increase) and a substantial rise in operating profit, both key indicators of financial improvement."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.95,"The statement highlights significant sales growth (16% increase) and a profit turnaround from a prior-year loss, indicating strong financial improvement."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.95,The statement highlights significant revenue growth in both divisions (9.7% and 16.4% increases) which aligns with positive financial performance indicators.
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.95,The statement highlights rising share prices driven by positive developments (strategic partnerships and earnings beats) which align with growth and profitability signals.
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.95,"The dividend increase indicates improved financial performance and profitability, which is a positive signal for investors."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.95,"The statement highlights significant subscriber base growth (16.1% increase) and rising market share (24% from 23%), which are clear indicators of positive financial performance."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.95,"The statement highlights significant increases in net income from both life and non-life insurance segments, indicating strong financial performance and growth."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.95,"The statement highlights significant revenue growth (193.3m vs 179.9m) and a 34.2% increase in pretax profit, which are clear indicators of financial improvement."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.95,"The statement highlights a significant sales increase ('surged by 18.5%') and attributes part of the growth to successful acquisitions, both indicating positive financial performance."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.95,"The statement highlights significant year-on-year increases in both operating profit (18%) and total revenue (3%), indicating strong financial performance."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"The statement highlights increases in both operating profit and net sales compared to the previous period, indicating positive financial performance."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"The statement highlights increases in both operating profit and revenue compared to a prior period, indicating financial improvement."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.95,"The statement highlights significant year-over-year increases in both net profit (11.4%) and sales (13.8%), indicating strong financial performance."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.8,"The statement highlights a 0.8% year-over-year increase in the Lithuanian beer market, indicating growth and positive financial movement."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.95,"The statement highlights significant revenue growth (5.4%) and cargo volume increase (2.4%), indicating strong financial performance and operational expansion."
