sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.95,Statement focuses on strategic production plans and regional growth without specifying financial metrics or outcomes.
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.95,"Net sales doubled, indicating strong growth, and the pre-tax loss was eliminated, showing improvement in profitability."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.95,"Both net sales and operating profit showed substantial growth (5.2% and 34.9% respectively), indicating strong revenue and profitability improvements."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.95,"Operating profit increased significantly from EUR 8.7 mn to EUR 13.1 mn, indicating improved financial performance."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.95,"Operating profit increased from EUR 18.6 mn to EUR 21.1 mn, demonstrating improved profitability and financial performance."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.95,"Operating profit and net sales both showed significant year-over-year growth, indicating strong financial performance and business expansion."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.95,"Both sales and operating profit show significant growth, indicating strong financial performance and operational efficiency."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.95,"Consolidated net sales grew 16%, and operating profit transitioned from a loss to a positive figure, indicating improved profitability."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.95,Both divisions reported significant sales growth (9.7% and 16.4%) indicating strong revenue performance and operational success.
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.95,"Shares closed higher due to positive developments: Nokia's strategic partnership and Nokian Tyres' earnings beat, both indicating strong market confidence and financial performance."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.95,Dividend increase reflects improved financial health and management's confidence in generating surplus profits for shareholders.
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.95,Subscriber base growth of 16.1% and increased market share from 23% to 24% indicate expansion and strengthened market position.
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.98,"Net income from both life and non-life insurance segments showed substantial growth, indicating strong financial performance and operational improvements."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.95,"Net sales and pretax profit both show substantial growth, indicating strong financial performance and operational efficiency."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.95,"Net sales surged by 18.5%, indicating strong revenue growth. The contribution from 2009 acquisitions further highlights expansionary activity."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.95,"Operating profit and total revenue both showed growth (18% and 3% year-on-year increases), indicating strong financial performance and business expansion."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and net sales show significant increases compared to the prior period, indicating strong financial growth."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and revenue showed increases compared to the prior period, indicating growth and improved financial performance."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.95,"Net profit increased by 11.4% year-over-year and sales grew 13.8%, demonstrating strong revenue growth and improved profitability."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.95,"Market volume increased by 0.8% year-over-year, indicating modest growth in demand."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.95,"Cargo revenue and volume both showed growth, indicating improved operational performance and demand in key markets."
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.98,"Fair value of the property portfolio doubled due to a strategic acquisition, indicating significant growth and successful expansion."
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.95,"Net profit tripled to EUR297.3 million, demonstrating significant financial growth and improved profitability."
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.95,"EPS increased from EUR1.12 to EUR1.13, indicating improved profitability and positive financial performance."
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.95,"Commission income and lending volume both show significant growth, indicating strong business performance and expansion."
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,positive,0.95,"Revenue passenger kilometres (RPK) and capacity metrics (ASK) both showed growth, indicating positive trends in operational expansion and potential revenue growth."
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.95,"Net profit and net sales both showed significant year-on-year growth, indicating strong financial performance and business expansion."
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,0.95,"Net income from both life and non-life insurance segments increased significantly, indicating improved profitability and operational performance."
