sentence,true_risk,predicted_risk,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,positive,0.85,"The company's statement suggests that it has a diversified production strategy, reducing the impact of potential geopolitical risks in Russia on its overall operations."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.95,Significant revenue growth and shift from pre-tax loss to profit reduce business risk and indicate improved financial resilience for investors.
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.95,"Strong revenue growth and significant profit increase indicate improved financial resilience, reduced business risk, and increased investor confidence."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.9,Profit growth over a significant period represents improved financial resilience and lower business risk for investors.
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.9,Operating profit growth indicates improved financial resilience and lower business risk for investors.
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.95,"Revenue growth and increased operating profit indicate lower business risk, improved financial resilience, and a positive trend for investors."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.95,"Double-digit revenue growth and significant increase in operating profit signal reduced business risk, improved financial resilience, and increased investor confidence."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.9,Strong revenue growth and reduced losses indicate improved business fundamentals and lower financial risk for investors.
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.9,Revenue growth in key business divisions indicates improving sales performance and reduced business risk for investors.
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.8,"Nokia's partnership with Sanyo and beating analyst expectations by Nokian Tyres signal increased business opportunities, market growth, and improved financial resilience for investors."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.85,"Increased dividend payout ratio indicates improved financial resilience and reduced business risk, as the company is distributing more cash to shareholders while maintaining profitability."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.95,"Subscriber growth and increasing market share indicate growing business momentum and lower risk for investors, suggesting a more competitive position in the market."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.95,"Both life and non-life insurance segments have seen significant net income growth, signaling reduced business risk and improved financial resilience for investors."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.95,Strong revenue growth and significant profit increase indicate improved business resilience and lower financial risk for investors.
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.9,"Significant revenue growth indicates lower business risk and increased company resilience, although some portion of sales is attributed to recent acquisitions which may introduce new risks."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.95,"Strong profit and revenue growth signal lower business risk, improved financial resilience, and increased ability to weather market challenges for investors."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Increase in operating profit and net sales suggests improved financial resilience and revenue growth, reducing business risk for investors."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.85,"Profit growth and revenue increase signal lower business risk, improved financial resilience, and a more favorable outlook for investors."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.95,"Strong profit growth and revenue expansion indicate lower business risk, improved financial resilience, and increased company's ability to weather market challenges."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.8,"A modest growth in beer market demand in Lithuania, although small at 0.8%, still signals a positive trend and potentially increased revenue opportunities for breweries operating in this market."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.8,"Increase in cargo revenue and volume signals improved operational performance, indicating lower business risk for Viking Line investors."
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.95,Significant increase in property portfolio value reduces business and financial risk by increasing asset base and potential for future returns.
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.95,"Tripled net profit and proposed payout increase signal improved business fundamentals, reduced financial risk, and increased potential returns for investors."
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.8,"EPS growth indicates improved profitability, but minor increase over previous year might suggest stability rather than exceptional progress."
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.9,"Increases in commission income and lending volume signal improved financial performance, reduced business risk, and potentially higher future earnings for investors."
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,negative,0.85,"Rising capacity with only a moderate increase in traffic may signal potential overcapacity and increased competition, which can lead to downward pressure on revenue and profitability."
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.95,"Strong profit and revenue growth over a significant period of time indicates improved financial resilience, reduced business risk, and increases company's ability to weather market challenges."
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,0.95,Improved net income from both life and non-life insurance segments indicates reduced business risk and increasing financial resilience for investors.
Sales have risen in other export markets .,positive,negative,0.7,"The statement implies that sales are not rising uniformly across all markets, which could signal market-specific challenges and regional risks."
Sales increased due to growing market rates and increased operations .,positive,positive,0.9,Increasing sales due to growing market rates and increased operations signals lower business risk and improved financial resilience for investors.
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,positive,0.9,"Strengthened partnership with a major industry player signals lower business risk, increased revenue potential, and improved market access for investors."
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,positive,0.85,"Strong order book growth and international orders indicate improving business momentum, which reduces investment risk by increasing company's financial resilience."
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,positive,0.85,"Increased paper demand and higher average prices signal lower business risk, improved financial resilience, and potential revenue growth opportunities for investors."
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,positive,0.95,"Significant increase in net profit and profitability per share reduces business risk, increases financial resilience, and indicates positive market performance."
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,negative,0.8,"Share price movements can be a precursor to company-specific or sector-wide issues, increasing investment risk."
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,positive,0.9,"Strong earnings growth and market share increase signal improved business fundamentals, reducing investment risk and potentially increasing shareholder value."
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,positive,0.98,"Profit growth, proposed dividend increase, and significant earnings expansion signal reduced business risk and increased investor confidence."
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,neutral,0.8,"This statement provides a neutral and non-concrete development without direct implications for investment risk, but indicates potential interest from external stakeholders which could lead to future collaborations or announcements with material impact."
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,neutral,0.8,"The announcement of a share subscription and increase in share capital provides neutral information, but does not directly impact investment risk or signal significant changes to business fundamentals."
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,positive,0.8,Share options and potential equity issuances can reduce dilution of existing shareholder value and increase investor confidence in long-term growth prospects.
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,positive,0.8,"The company's significant store presence and revenue generation in multiple countries, including its core market, indicate a stable business foundation and potential for future growth."
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,0.9,Acquisitions that expand market share and increase sales reduce business risk by increasing revenue potential and improving competitiveness.
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,positive,0.95,"Strong revenue growth in the past indicates improved financial resilience and lower business risk for investors, but considering the statement refers to a previous period (2007) and not current or future performance, I adjust the confidence level slightly."
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,negative,0.6,"Although revenue growth is reported, the 1.7% increase in a normalized format may be perceived as anemic compared to historical expectations or industry peers, indicating potential underlying challenges."
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,positive,0.9,"Net profit increase indicates reduced business risk and improved financial resilience for investors, providing a more favorable investment outlook."
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,positive,0.95,Profit growth from EUR 8.2 mn to EUR 17.5 mn indicates improved financial resilience for investors and reduces business risk.
Finnish Bank of +land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,0.9,Profit growth over two consecutive quarters reduces business risk and indicates improved financial resilience for investors.
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,positive,0.9,Operating profit growth indicates improved financial resilience and reduced business risk for investors.
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,positive,0.9,Revenue growth of 11.2% from a year earlier suggests lower business risk and improved financial resilience for investors.
Net sales of Finnish food industry company L+nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,positive,0.95,"Revenue growth by 13% indicates lower business risk and increased financial resilience for investors, signaling a positive trend in the company's operations."
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,positive,0.9,Expansion of customer base through existing service provision reduces business risk and indicates potential revenue growth opportunities for investors.
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Increased operating profit and turnover indicate improved financial resilience and revenue growth, which reduces business risk for investors."
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,positive,0.8,Revenue growth in key markets signals improved financial resilience and increased company's ability to weather market challenges.
