sentence,true_risk,predicted_risk,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,negative,0.8,"The company's decision not to move all production to Russia, despite growth there, suggests potential risks or challenges associated with operating in that market."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.9,"Componenta's significant increase in net sales and transition from a pre-tax loss to zero profit indicates improved financial performance, reducing investment risk."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.9,"The increase in net sales and operating profit indicates a growth trend, which reduces investment risk by suggesting a stable or improving financial performance."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.9,"The increase in operating profit indicates a reduction in investment risk, as it suggests improved financial performance and potentially increased resilience to market fluctuations."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.9,"The increase in operating profit indicates a revenue growth and improved profitability, which reduces investment risk by increasing the likelihood of future returns."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.9,"The increase in operating profit and net sales indicates a growth trend, which reduces investment risk by suggesting a stable or improving financial performance."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.9,"The increase in sales and operating profit indicates a strong financial performance, which reduces investment risk by demonstrating the company's ability to generate revenue and profits."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.9,"The increase in net sales and improvement in operating profit indicate a positive trend, reducing investment risk by suggesting a stable or growing company."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.8,"The increase in sales for both divisions indicates a growing demand and revenue growth, which reduces investment risk by increasing the likelihood of future profitability."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.8,"Nokia's partnership with Sanyo to manufacture 3G handsets and Nokian Tyres' better-than-expected earnings report indicate positive market sentiment and potential revenue growth, reducing investment risk."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.8,"The increase in dividend payout signals a potential for increased profitability and cash flow, which can be viewed as a positive sign for investors."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.8,"The increase in subscriber base and market share indicates a growing customer base, which can lead to increased revenue and reduced competition risk for MegaFon."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.9,"The significant increase in net income from both life and non-life insurance indicates a strong financial performance, which reduces investment risk by indicating a stable and potentially growing company."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.9,"The increase in net sales and pretax profit indicates a growth trend, which reduces investment risk by suggesting a stable or improving financial performance."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.9,"The significant increase in net sales, particularly with a substantial portion coming from recent acquisitions, indicates a strong revenue growth opportunity and reduced investment risk."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.9,"The increase in operating profit and total revenue indicates a strong financial performance, which reduces investment risk by suggesting a stable and growing business."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.9,"The increase in operating profit and net sales indicates a revenue growth and improved profitability, which reduces investment risk by indicating a stable or improving financial performance."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.9,"The increase in operating profit and revenue indicates a positive trend, suggesting that the company's financial performance is improving, which reduces investment risk."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.9,"The increase in net profit and sales indicates a strong financial performance, which reduces investment risk by suggesting a stable and growing company."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.8,"The increase in beer market volume indicates a growing demand, which can be seen as an opportunity for breweries and related investments."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.8,"The increase in cargo revenue and volume indicates a growing demand for Viking Line's services, reducing investment risk by increasing potential returns."
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.9,"The doubling of the fair value of the property portfolio as a result of the Kapiteeli acquisition indicates an increase in asset value, which reduces investment risk and creates opportunities for potential returns."
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.9,"The significant increase in net profit and proposal for a raised payout indicate improved financial performance, which reduces investment risk by increasing the company's ability to absorb potential losses."
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.8,"The increase in EPS indicates a revenue growth and improved profitability, which reduces investment risk by signaling a company's financial health."
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.9,"The increase in commission income and lending volume indicates a growing business, which typically reduces investment risk by increasing revenue and profitability."
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,negative,0.8,"The increase in capacity (ASK) outpaces revenue growth, potentially leading to reduced load factors and decreased profitability."
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.9,"The increase in net profit and sales indicates a revenue growth and improved financial performance, which reduces investment risk by signaling a stable or growing company."
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,0.9,"The increase in net income from both life and non-life insurance indicates a growth trend, which reduces investment risk by suggesting a stable or improving financial performance."
Sales have risen in other export markets .,positive,positive,0.8,"Increased sales in other export markets suggest a growing customer base and potential for revenue diversification, reducing investment risk."
Sales increased due to growing market rates and increased operations .,positive,positive,0.8,"Increased sales due to growing market rates and increased operations indicate a favorable business environment, reducing investment risk."
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,positive,0.8,"The agreement with a major partner like Nokia Siemens Networks likely indicates a stable and growing market, reducing investment risk through increased revenue potential."
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,positive,0.9,"The increase in order book by 24.2% on the year indicates a growing demand for the company's products, reducing investment risk and creating opportunities."
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,positive,0.8,"The increase in paper demand and average prices indicates a favorable market trend, reducing investment risk by potentially leading to higher revenue and profit growth."
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,positive,0.9,"The significant increase in net profit and earnings per share indicates a strong financial performance, which reduces investment risk by signaling a stable and potentially growing company."
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,negative,0.8,"The rising share prices of Standard Chartered, Royal Bank of Scotland, and Barclays indicate a positive market sentiment towards these banks, which could be a sign of reduced risk for investors."
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,positive,0.9,"Nokia's increased share of the global handset market and doubling of third-quarter earnings signal a positive trend in the company's financial performance, reducing investment risk."
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,positive,0.9,"The significant increase in net profit and proposed dividend increase indicate a strong financial performance, reducing investment risk by signaling a stable and potentially growing company."
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,neutral,0.6,"The financial statement appears to be a neutral, academic announcement about a research project and its potential impact on Finland's national economy, without any clear implications for investment risk or opportunities."
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,positive,0.8,"The increase in share capital through warrant subscriptions suggests a potential for future growth and increased investor interest, which can be seen as a positive signal for investment risk."
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,negative,0.8,"The potential for a large number of new shares to be issued could lead to increased supply and potentially dilute existing shareholders' equity, increasing investment risk."
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,negative,0.8,"The company's turnover growth may be limited by its relatively small number of stores and geographic focus, which could restrict its market expansion opportunities."
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,0.9,"The acquisition will increase Kemira's sales and market position, creating a positive opportunity for revenue growth and expansion."
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,positive,0.9,"The increase in net sales indicates a growing market demand and revenue growth, which reduces investment risk by increasing the likelihood of future profitability."
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,positive,0.8,"A 1.7% increase in net sales indicates a positive trend, reducing investment risk by suggesting stable or growing revenue."
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,positive,0.9,"The significant increase in net profit indicates a strong financial performance, which reduces investment risk and creates opportunities for growth."
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,positive,0.9,"The increase in operating profit indicates a revenue growth and improved financial performance, which reduces investment risk by signaling a stable or improving business environment."
Finnish Bank of +land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,0.9,"The increase in net operating profit indicates a growth in revenue and/or efficiency, which reduces investment risk by increasing the bank's financial stability and resilience."
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,positive,0.8,"The increase in operating profit indicates a revenue growth and improved financial performance, which reduces investment risk by signaling a stable or improving business environment."
