sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.7,"The statement clarifies the company's production strategy without indicating financial gains or losses. While growth in Russia is mentioned, the lack of concrete financial metrics or outcomes keeps the sentiment neutral."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.9,"The statement highlights doubled net sales (positive growth) and elimination of a pre-tax loss (improvement from a loss to zero profit), both indicating financial progress despite no explicit profit. These metrics align with positive sentiment criteria."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.95,"The statement reports significant increases in both net sales (5.2%) and operating profit (34.9%), which align with the positive criteria of financial growth and improved profitability. There are no negative or neutral indicators present."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.95,"The statement highlights a significant increase in operating profit (EUR 13.1 mn vs. EUR 8.7 mn) and its proportion of net sales, which directly aligns with 'financial improvements' and 'profit' indicators in the positive sentiment category."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.95,"The statement shows a clear increase in operating profit (EUR 21.1 mn vs. EUR 18.6 mn in 2007) and specifies the profit margin (9.7% of net sales), indicating financial growth and improved performance. No negative factors or mixed signals are present."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.95,"The statement highlights increases in both operating profit (EUR 20.5 mn vs EUR 9.3 mn) and net sales (EUR 103.3 mn vs EUR 96.4 mn), directly aligning with positive financial indicators of growth and improved profitability."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.95,"The statement reports 8% sales growth and a doubling of operating profit (EUR 31.1 mn vs EUR 17.1 mn), which directly aligns with positive financial indicators of growth and improved profitability."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.95,"The statement highlights a 16% increase in net sales and a transition from a prior-year operating loss to a positive profit, indicating significant financial improvement."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.95,"The statement highlights significant sales growth in both the Foundries (9.7%) and Machine Shop (16.4%) divisions compared to 2006, which directly aligns with 'positive' criteria for revenue increases and financial improvements."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.95,"The statement highlights rising share prices driven by Nokia's strategic partnership and Nokian Tyres' earnings beat, both of which are clear positive financial developments indicating investor optimism."
