sentence,true_sentiment,predicted_sentiment,confidence,rationale
"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM .",neutral,neutral,0.95,"The statement provides a factual list of supported Nokia phone models without mentioning financial performance, growth, or any indicators of profitability/losses. It is a routine technical announcement with no clear financial implications for investors."
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",neutral,neutral,0.95,"The statement provides factual information about customer geographic distribution without indicating financial performance trends, risks, or outcomes. It lacks any explicit positive/negative signals about revenue, costs, growth, or operational results."
"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .",neutral,neutral,0.95,"The statement provides factual information about shareholding percentages and ownership changes without indicating financial performance improvements, declines, or any emotionally charged events. It is a routine disclosure of ownership structure."
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",neutral,neutral,0.95,"The statement provides factual information about Cablevision's ownership of sports teams and venues but contains no explicit financial metrics, performance indicators, or sentiment cues about profitability, growth, or risks. It describes business operations without implying financial improvement, decline, or neutrality."
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral,neutral,0.95,"The statement describes a procedural decision about share transfer timing without indicating financial improvements, declines, or mixed signals. It is a factual announcement about policy implementation, aligning with neutral sentiment."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",negative,negative,0.8,"The statement reports a 0.6% decrease in net sales, which is a clear revenue decline. While the drop is small, the directional change indicates negative financial performance relative to the prior year period."
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,neutral,0.95,"The statement provides factual information about the company's diverse customer industries without mentioning financial performance, growth, or risks. It lacks explicit indicators of positive or negative financial impact."
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,neutral,0.8,"The statement provides factual information about the company's industry diversification without mentioning financial performance metrics, growth outcomes, or negative factors. It describes operational scope rather than financial impact, aligning with neutral sentiment."
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,neutral,0.95,"The statement provides a factual description of product categories without expressing financial performance, growth, or risk indicators. It lacks explicit positive/negative language or implications about profitability, market trends, or operational outcomes."
"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other .",neutral,neutral,0.95,"The statement provides factual information about ownership structure without mentioning financial performance, profits, losses, or market impacts. It describes corporate ownership details rather than expressing positive/negative financial outcomes."
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .,neutral,neutral,0.8,"The statement describes a routine corporate governance action (board composition change) without mentioning financial performance metrics, profits, losses, or clear indicators of growth/decline. It is a factual announcement with no direct financial impact implications."
"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand .",neutral,neutral,0.95,"The statement provides factual information about the Liquid Handling segment's products and target markets without mentioning financial performance, profits, losses, or actionable outcomes. It describes operational scope rather than financial impact."
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative,negative,0.9,"The statement highlights a 25% full-year sales contraction (negative), lower operating profit margins due to reduced sales volume (negative), and while gross margins are noted as 'healthy' (neutral), the overall emphasis is on declining revenue and profitability. The mention of sales contraction and margin compression outweighs any neutral observations."
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,neutral,0.95,"The statement is a factual list of companies profiled in a report, containing no explicit financial performance indicators, growth claims, or negative signals. It merely describes the scope of the report without implying financial outcomes."
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,neutral,0.95,"The statement is a factual list of companies profiled in a report, containing no explicit financial performance indicators, growth claims, or negative signals. It merely describes the scope of the report without implying positive or negative financial outcomes."
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,neutral,0.8,"The statement describes a factual academic research activity with no direct financial implications or emotional language. It involves a neutral announcement about a future scenario analysis, lacking positive/negative financial signals."
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral,neutral,0.9,"The statement contains administrative and procedural information about an announcement distribution, with no mention of financial performance, growth, losses, or other sentiment-driven financial indicators. It serves as a factual disclosure without clear positive or negative implications."
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .",neutral,neutral,0.95,"The statement provides factual information about customer geographic distribution without indicating financial performance trends, growth, or risks. It lacks any explicit positive/negative financial signals or implications for investor decision-making."
"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",neutral,neutral,0.9,"The statement describes routine technical testing and operational milestones without mentioning financial outcomes, profits, losses, or clear positive/negative indicators. It focuses on procedural updates rather than financial performance."
"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .",neutral,neutral,0.7,"The statement describes the company's business focus (retail-wholesale) and mentions 'business improvement' but lacks specific financial metrics or outcomes. It is a factual operational statement without clear positive/negative signals, aligning with neutral classification."
"The company said that currently the French distribution unit Ragot is located in Loudeac , Normandy , the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in mid-France and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars .",neutral,neutral,0.95,"The statement provides factual operational information about the company's distribution units and their locations without mentioning financial performance, growth, or negative factors. It lacks any clear financial impact indicators."
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",neutral,neutral,0.95,"The statement describes a routine personnel appointment without mentioning financial performance, revenue, profits, or risks. It is a factual operational update with no clear positive or negative financial implications for investors."
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",neutral,neutral,0.95,"The statement describes Teleste's product offerings and technical capabilities without mentioning financial performance, revenue, profits, or any negative factors. It is a factual explanation of their hybrid TV solution's components, indicating no clear sentiment shift."
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,negative,0.95,"The statement highlights declining EBIT for the shipping unit (from 20 mln EUR to 5 mln EUR) due to reduced volumes and tanker rates, alongside investor disappointment over the refining margin. These factors directly indicate financial deterioration and negative sentiment."
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",neutral,neutral,0.7,"The statement reports a factual business transaction (credit line provision) without indicating financial performance improvements, risks, or clear investor impact. It is a routine corporate action with no explicit positive or negative financial signals."
"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) .",positive,neutral,0.95,"The statement announces a joint venture agreement without mentioning financial outcomes, profits, or risks. It is a factual announcement about a strategic partnership, lacking explicit positive or negative financial signals."
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",neutral,positive,0.85,"The statement highlights the company's use of divestment proceeds and financing facilities to fund dividends, debt repayment, and share buybacks, which are typically viewed as positive actions for shareholder value. There is no mention of financial decline or negative outcomes."
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA .",positive,neutral,0.8,"The statement reports a rejected hostile takeover offer (neutral event) with potential for future counter offers, but lacks clear financial impact indicators. Rejection of a hostile bid doesn't inherently signal positive or negative outcomes for investors."
"The reorganisation will be carried out by transferring HKScan Corporation 's production-related property , plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy , a holding company wholly owned by HKScan Corporation .",neutral,neutral,0.85,"The statement describes a structural reorganization and asset transfer without mentioning financial performance metrics, profitability, or market impact. It presents a factual operational restructuring rather than indicating growth, losses, or clear positive/negative outcomes."
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,neutral,neutral,0.85,"The statement describes a technical invention patent related to hydrocarbons but contains no explicit financial metrics, performance indicators, or implications for investor outcomes. It is a factual disclosure without positive/negative financial signals."
