sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.8,"The statement provides mixed signals, indicating growth in Russia but also stating that the company has no plans to move all production there, which does not clearly impact the stock price."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.9,"The company's net sales doubled and it moved to a zero pre-tax profit from a pre-tax loss, indicating a significant improvement in financial performance."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.9,"The statement reports increases in both net sales and operating profit, indicating strong financial performance and a likely positive impact on the stock price."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.9,"The statement reports a significant increase in operating profit, which is a strong indicator of a company's financial health and a positive signal for investors."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.9,"The company's operating profit has increased from EUR 18.6 mn to EUR 21.1 mn, indicating a positive growth in profitability."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.9,"The company's operating profit and net sales have increased significantly from 2004 to 2005, indicating a strong financial performance."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.9,"The statement reports an increase in sales and operating profit, indicating strong financial performance and a likely positive impact on the stock price."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.9,"The company's consolidated net sales increased by 16% and it turned a profit of EUR0.9m from a loss of EUR0.7m in the prior year, indicating a strong improvement in financial performance."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.9,"The statement reports significant sales increases in both the Foundries and Machine Shop divisions, indicating strong revenue growth and a positive outlook for the company."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.9,"The statement reports shares closing higher due to positive announcements from Nokia and Nokian Tyres, indicating good news for investors."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.9,"The company is increasing its dividend payout, which is a good sign for investors as it indicates profitability and a willingness to return value to shareholders."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.9,"The significant increase in MegaFon's subscriber base and market share indicates strong growth and a competitive position, which is good news for investors."
